,,Clinicial Experiences,(Required Hours) [Recommened Hours],,Interpretive Guidelines,,,,Examples,,,
,,Moderate/deep sedation                              (25) [50],,,"“Monitored Anesthesia Care, or MAC  Anesthesia” is not synonymous with moderate/deep sedation. MAC Anesthesia  describes an anesthesia service in which",,,,"If a student provides anesthesia care (e.g., preanesthetic evaluation, intraoperative",,,
"5 Simple models and simulated experiences may be used to satisfy part of this requirement. No clinical experiences can be obtained by simulation alone.
6 Examples include truncal, cutaneous, head, and neck blocks (e.g., transversus abdominis plane, rectus sheath, ilioinguinal, iliohypogastric, oral, and maxillofacial   blocks).",,,,,,,,,,,,
,,,,"a  licensed anesthesia provider participates in  the care of a patient undergoing a procedure.   The term MAC is not included in the standards because it does not define any particular level of sedation.  The American Society of Anesthesiologists,
in  their “Continuum of Depth of Sedation,”  publishes the following definitions.",,,,"monitoring), but does not administer any medications, the experience will count as an anesthetic case, but does not count as
moderate/deep sedation.",,,,
,,,,Minimal sedation/anxiolysis is a drug-  induced state of anxiolysis in which patients are able to respond normally to  verbal commands.,,,,"If a student administers oral midazolam or perhaps nitrous oxide for IV placement, or intravenous midazolam for removal of external fixation device, and the patient remains able to respond normally to verbal commands.  The experience will count as an anesthetic case, but does not count as
moderate/deep sedation.",,,,
,,,,"Moderate sedation/analgesia (“Conscious  Sedation”) refers to a drug-induced depression of consciousness during which  patients respond purposefully to verbal commands, either alone or accompanied  by minimal tactile stimulation. No interventions are required to maintain a  patent airway and spontaneous ventilation is adequate.",,,,"A student administers a sedative, narcotic and/or anxiolytic medication for an inguinal hernia repair.  The patient has decreased level of consciousness, but awakens either to voice command or when touched lightly on the shoulder.  The patient appropriately follows verbal commands.  The airway is patent and ventilation is adequate.  This experience is counted in this category.
Administering sedative, narcotic and/or anxiolytic medication for a patient receiving a forearm surgery with a regional block in  place. The patient has decreased level of consciousness, but awakens either to voice command or when touched lightly on the shoulder.  The patient appropriately follows verbal commands.  The airway is patent and
ventilation is adequate.  This experience is counted in this category.",,,,
,,,,Deep sedation is a drug-induced depression of consciousness during which,,,,A student is administering midazolam and,,,,
,,,,,"patients cannot be easily aroused, but  respond purposefully following repeated  or painful stimulation. The ability to independently maintain ventilatory function may be impaired. Patients may  require assistance in maintaining a patent  airway, and spontaneous ventilation may  be inadequate.  Reflex withdrawal from a  painful stimulus is not considered a  purposeful response.",,,,"liberal doses of fentanyl in preparation for flexible videoscopic intubation.  The patient requires a jaw lift to achieve a respiratory rate  of 6 per minute, and responds purposely        to deep tactile stimulation (i.e., does not  respond to verbal or light tactile stimuli).  This  experience
is counted in this category.",,,
,,,,,"General Anesthesia is a drug-induced loss  of consciousness during which patients are not arousable, even by painful stimulation.  The ability to independently maintain ventilatory function is often impaired.
Patients often require assistance in  maintaining a patent airway, and positive pressure ventilation may be required  because of depressed spontaneous ventilation or drug-induced depression of  neuromuscular function. Cardiovascular function may be impaired.",,,,"A student is administering propofol for a colonoscopy.  The patient requires a jaw lift to achieve a patent airway, has a respiratory  rate of 6 per minute, and is not responsive to deep painful stimulation. The patient does  not respond as the proceduralist performs the colonoscopy.  The patient is under  general anesthesia.  This clinical experience is  not counted in the moderate/deep sedation category; rather, it is counted as a general
anesthetic.",,,
,,Arterial Technique,,,,,,,,,,
,,Arterial puncture/catheter insertion                   (25),,,,,,,,,,
,,Intra-arterial blood pressure monitoring            (30),,,This category is used anytime an arterial  catheter is used to monitor arterial waveforms and other clinical variables.,,,,"Examples include standard arterial lines, as  well as newer technologies that employ  arterial lines such as FloTrac sensor (with  either Vigileo or EV1000 platform),  VolumeView sensor (with TruWave transducer and EV1000 platform),
LiDCOplus,  PiCCO.",,,
,,Central Venous Catheter,,,Insertion of a central venous catheter is  distinctly different from inserting a pulmonary artery catheter. These  experiences are recorded in separate categories.,,,,,,,
,,Placement 7 – Non-PICC (total of a & b)     (10)[15],,,,,,,,,,
,,a.  Actual                                                        [5],,,The placement of an introducer qualifies as a central venous catheter insertion. If,,,,,,,
"7 Simple models and simulated experiences may be used to satisfy this requirement. For students enrolled on or after January 1, 2020, no clinical experiences can be   obtained by simulation alone. Insertion of Peripherally-Inserted Central Catheters (PICC) do not meet the requirements for Central Line Placement.",,,,,,,,,,,,
,,,,"the  student also floats a pulmonary artery  catheter, the student would count it as both a central venous catheter insertion  and a pulmonary artery catheter insertion. The student should perform the procedure including insertion and directing of the needle. Assistance can be provided, but  the procedure must be performed by the
student.",,,,,,,,
b. Simulated,,,,"Simple models and simulated experiences  may be used to satisfy this requirement. For students enrolled on or after January 1,  2020, no clinical experiences can be obtained by simulation alone.",,,,,,,,
Placement – PICC (total of a & b),,,,"Insertion of a Peripherally-Inserted Central  Catheters (PICC) does not meet the
requirement for Central Venous Catheter  Placement.",,,,,,,,
a.   Actual,,,,,,,,,,,,
b.  Simulated,,,,,,,,,,,,
Monitoring                                                                 (15),,,,"This category is used anytime a central  venous catheter is used to monitor central venous waveforms and other clinical  variables.  Monitoring right atrial pressure with a pulmonary artery catheter is  counted under pulmonary artery catheter monitoring, not under this category.",,,,"Examples include standard central venous catheters, as well as newer technologies that employ central venous lines such as VolumeView sensor (with TruWave transducer and EV1000 platform) and PiCCO.  It is anticipated that others will be available in  the
future.",,,,
Pulmonary Artery Catheter,,,,,,,,,,,,
Placement                                                                     [5],,,,,,,,,,,,
CLINICAL EXPERIENCES,,,,Interpretive Guidelines,,,,Examples,,,,
Monitoring                                                                  [10],,,,This category includes invasive monitoring  using a pulmonary artery catheter.,,,,,,,,
Other,,,,,,,,,,,,
Ultrasound guided techniques (total of a & b) (20)†,,,,,,,,,,,,
a.   Regional                                                 (10)†,,,,"Regional includes neuraxial, truncal, and peripheral nerve blocks. No clinical experiences can be obtained by simulation alone.",,,,,,,,
1.   Actual regional†,,,,,,,,,,,,
2.   Simulated regional†,,,,,,,,,,,,
b.   Vascular                                                 (10)†,,,,"This includes both central and peripheral  vascular structures. Vascular includes arterial, peripherally inserted central catheters, central venous, and peripheral
access. No clinical experiences can be obtained by simulation alone.",,,,,,,,
1.   Actual vascular†,,,,,,,,,,,,
2.   Simulated vascular†,,,,,,,,,,,,
Point of Care Ultrasound (POCUS)†,,,,"Refers to the use of portable ultrasonography at a patient’s bedside for diagnostic (e.g., symptom or sign-based examination) purposes. This is exclusive of using ultrasound for image-guidance purposes such as for regional anesthesia or vascular access.",,,,"Under appropriate supervision, the student uses ultrasound to assess cardiac function and/or gastric volume preoperatively.
Under appropriate supervision, the student uses tranesophageal ultrasound intraoperatively to assess
fluid status and/or cardiac function.",,,,
a.    Actual†,,,,,,,,,,,,
b.   Simulated†,,,,,,,,,,,,
Intravenous catheter placement                        (100),,,,,,,,"If an intravenous catheter is placed using ultrasound, the procedure would be counted in this category, and also in:
? Other
o Ultrasound guided
b. Vascular",,,,
Advanced noninvasive hemodynamic monitoring,,,,Newer non-invasive technologies have  emerged as reliable methods to monitor cardiac output and other hemodynamic  variables. The data derived from the various technologies are useful in  determining appropriate patient  management.,,,,"Examples include the Venus 1000, NiCO2,  BioZ CardioProfile, NICOM, ClearSight, and  USCOM.  It is anticipated that others will be
available in the future.",,,,
Assessment of chest X-ray†                             (5) [10],,,,"The expectation is that the student accurately recognizes normal and
abnormal findings on chest x-rays that may have immediate perianesthetic implications (e.g., pneumothorax, pulmonary edema) along with evaluating proper positioning of  various tubes (e.g., endotracheal tubes, chest tubes) and invasive vascular access lines (e.g.,   central venous catheters).
One “case” should be counted as the evaluation of one chest x-ray  and
student’s evaluation is assessed. The chest x-ray source can be a current or past patient or from an institutional or commercial library of chest x-rays. This experience can be gained in a  healthcare institution, classroom, simulation center, or by using online resources.",,,,"The student completes an online learning module where the approach to evaluating chest x-rays is presented. The module also asks the student to evaluate a number of chest x-rays. A faculty member assesses the student’s evaluation of the chest x-rays. This may be done by the faculty reviewing the student’s score on a post-test.
The student is assigned to the postanesthesia care unit. Under appropriate supervision, the student intubates a patient in respiratory distress. A chest x-ray is done post-procedure. The supervising provider and the student evaluates the chest x-ray. The supervising provider asks the student about their evaluation of chest x-ray such as if the endotracheal tube is properly placed and if there are any other findings with peri- anesthetic implications.
Students are asked in the classroom or in the simulation laboratory to evaluate chest x-rays obtained from private or public sources.",,,,
"† Effective for all students matriculating into an accredited program on or after January 1, 2022.",,,,,,,,,,,,
